kategori,meta,title,img,desc
solo-learn,SOLO LEARN,JavaScript Intermediate,https://images.weserv.nl/?url=https://lh3.googleusercontent.com/d/1vqFyvYaY_eKQob74fimKcfJpL8MH99C7,"📌 Pemrograman JavaScript tingkat menengah: array, objek, dan DOM"
solo-learn,SOLO LEARN,PHP,https://images.weserv.nl/?url=https://lh3.googleusercontent.com/d/1mk1hLrRaZ9HKKYXsm4TWJ050DCBGDTOO,"📌 Dasar pemrograman backend dengan PHP: variabel, logika, dan form"
solo-learn,SOLO LEARN,Responsive Web Design,https://images.weserv.nl/?url=https://lh3.googleusercontent.com/d/1sAQd29SGnfhYT3GUl5187o4uIx3GH79A,"📌 Desain web responsif dengan Flexbox, CSS Grid, dan Media Queries"
solo-learn,SOLO LEARN,SQL Intermediate,https://images.weserv.nl/?url=https://lh3.googleusercontent.com/d/10rI6QsaRw5OZa91pIsWi7rlTMXOMRNor,"📌 Manajemen database SQL tingkat menengah: kueri kompleks dan join tabel"
solo-learn,SOLO LEARN,Web Development,https://images.weserv.nl/?url=https://lh3.googleusercontent.com/d/1HsHGFn96r_dIFFy73DLBOLhJzdRZA5RT,"📌 Pengembangan web frontend modern dengan HTML, CSS, dan JavaScript"
solo-learn,SOLO LEARN,Generative AI in Practice,https://images.weserv.nl/?url=https://lh3.googleusercontent.com/d/16fgdbijAeWoUloOMeqAQYjAcXgAnk6g6,📌 Implementasi praktis model dan teknologi Generative AI terbaru
solo-learn,SOLO LEARN,ML for Beginners,https://images.weserv.nl/?url=https://lh3.googleusercontent.com/d/1A41M4Nyb9FEE0e1CCD5CkW672YWh5fvk,"📌 Konsep dasar Machine Learning: supervised, unsupervised, dan algoritma"
solo-learn,SOLO LEARN,SEO with AI,https://images.weserv.nl/?url=https://lh3.googleusercontent.com/d/1B5LCQhisL40FydcJLEl2Na_ca4dDaHZU,📌 Strategi optimasi mesin pencari (SEO) menggunakan teknologi AI
eksternal,EKSTERNAL,Peran AI Untuk Privasi dan Keamanan Data,https://images.weserv.nl/?url=https://lh3.googleusercontent.com/d/1ArhKcR5SUYoPdNDAviY3ioUrWhc1dUS0,📌 Seminar pemanfaatan AI dalam keamanan data dan privasi digital
eksternal,EKSTERNAL,Webinar Nasional Artificial Intelligence,https://images.weserv.nl/?url=https://lh3.googleusercontent.com/d/1xXV_ByxoB04q_s8_VSpkHslrd00CGssl,📌 Webinar nasional tentang implementasi dan masa depan teknologi AI
indonusa,INDONUSA,Predikat Kelulusan Cumlaude,https://images.weserv.nl/?url=https://lh3.googleusercontent.com/d/1U3mEgmXepDSD812ElxV4wYPU674OEUMR,"🎓 Penghargaan predikat akademik Cumlaude Program Studi TRPL Politeknik Indonusa"
indonusa,INDONUSA,PPKMB Usaha Untuk Maju Bangga Jadi Indonusa,https://images.weserv.nl/?url=https://lh3.googleusercontent.com/d/16l9jz9paZ8OMZFrq6UVEAShOLZzfMv8z,📌 Kegiatan orientasi dan pengenalan kehidupan kampus mahasiswa baru
indonusa,INDONUSA,WEBINAR DIES NATALIS KE-19,https://images.weserv.nl/?url=https://lh3.googleusercontent.com/d/1TlVvyE8PvXXOtuHHPajsjIMETgVcsVwf,📌 Partisipasi webinar perayaan Dies Natalis ke-19 Politeknik Indonusa
indonusa,INDONUSA,Bijak Menggunakan Mobile Applications Menghadapi Hoax,https://images.weserv.nl/?url=https://lh3.googleusercontent.com/d/1vIvSSRbc0-uLdtDj87hszeZNI1Of8Wcv,📌 Seminar edukasi literasi digital dan penangkalan berita bohong (hoax)
indonusa,INDONUSA,Smart Collaboration Entrepreneurship & Technology,https://images.weserv.nl/?url=https://lh3.googleusercontent.com/d/1Ba52ylbTSKAH-uyBwyRrcb04eQsWCFBe,📌 Pelatihan kolaborasi kewirausahaan inovatif berbasis teknologi
indonusa,INDONUSA,Workshop Program Kreativitas Mahasiswa,https://images.weserv.nl/?url=https://lh3.googleusercontent.com/d/1GCI-r--CXoye251H4pakhO5OHuBPKzV9,📌 Pelatihan penyusunan ide dan usulan Program Kreativitas Mahasiswa (PKM)
indonusa,INDONUSA,Become A Creative Entrepreneur With Digital Inovation,https://images.weserv.nl/?url=https://lh3.googleusercontent.com/d/1UnTYRDsHy-vz6RRGgkBSdteuDi1t1EL4,📌 Webinar pengembangan bisnis inovatif berbasis teknologi digital
smk,SMK,Sertifikat Prakerin SMK,https://images.weserv.nl/?url=https://lh3.googleusercontent.com/d/1Ya0ZhXmIcojCY9F7JQoPknjDklfDCIa2,📌 Sertifikat Praktik Kerja Industri (Prakerin) lapangan tingkat SMK
smk,SMK,Sertifikat UKOM SMK,https://images.weserv.nl/?url=https://lh3.googleusercontent.com/d/1FLBqUtd7jrmEQqVJa9ngzxOXB9l6SgIT,📌 Bukti kelulusan sertifikasi Uji Kompetensi Keahlian (UKK) tingkat SMK
smk,SMK,Penilaian UKOM SMK,https://images.weserv.nl/?url=https://lh3.googleusercontent.com/d/1kFGINakUyuNr0tRQN1HcdRbpTtAQFUek,📌 Laporan pencapaian nilai kompetensi teknis Uji Kompetensi SMK
